,Place ID,Place Name
117,ChIJ2b82vI_qJIgRXJvTfuTEggg,Oakland Center
118,ChIJdbRFkI5OO4gRHanpzyLeVTA,Wayne Regional Educational Service Agency
119,ChIJVyJogS_OJIgR3ivLlXOjNOk,Hazel Park Schools Administration Building
120,ChIJ2b82vI_qJIgRXJvTfuTEggg,Oakland Center
121,ChIJWeMXuYOuJIgRWhhyNRhiLac,University Pediatricians Autism Center – Novi
122,ChIJUeD6TuylJIgRE5-TuTVmsJM,Walled Lake Consolidated Schools
123,ChIJH09QRtDeJIgR5p1Qy5O7IrY,Oakland University at MCCC University Center
124,ChIJP1-JSpLqJIgRmUDBbbDvlOk,Oakland University
125,ChIJdwe6BU3kJIgRDO7_tNSCAP8,Indian Hills Elementary School
126,ChIJEQSbJL3IJIgR5RxFJC3KVRY,Healing Haven Behavioral Health & Autism Therapy Services
127,ChIJe77Ctt7LJIgRdg6m_pjT0uA,University YES Academy
128,ChIJ6cyGNc3JJIgRVAMomSKHbhs,Northwestern Technological Institute
129,ChIJdcxWG3nyF4gRKQyINYDgLPA,The Salon Professional Academy
130,ChIJFZSWZExVPYgR6xPGn3-cb_c,The University of Olivet
131,ChIJx6A0anfxF4gRJvrsP_mj970,Kellogg Community College
132,ChIJqfOlYyHIJIgRonELvF-1sqA,Siena Heights University-Southfield
133,ChIJiXMBPjrPEIgRFm8csM5jF84,Siena Heights University
134,ChIJ51G11B7yPIgRYg87w3I57fg,Siena Heights University
135,ChIJ7U402HnqIogR2upi5g9_0uw,Siena Heights University - Lansing
136,ChIJ51G11B7yPIgRYg87w3I57fg,Siena Heights University
137,ChIJ51G11B7yPIgRYg87w3I57fg,Siena Heights University
138,ChIJqfOlYyHIJIgRonELvF-1sqA,Siena Heights University-Southfield
139,ChIJ51G11B7yPIgRYg87w3I57fg,Siena Heights University
140,ChIJ51G11B7yPIgRYg87w3I57fg,Siena Heights University
141,ChIJ51G11B7yPIgRYg87w3I57fg,Siena Heights University
142,ChIJH25xQEstO4gRls0sNYFZyiA,Metropolitan Center for High Technology
143,ChIJCWiU86hvO4gRKkfT7NLLE7o,ProMedica Monroe Regional Hospital
144,ChIJq2SGYgXNJIgR19hL1qryvks,Sacred Heart Major Seminary
